id	component_code	component_name	component_type	uom_id	uom_code	hpp_standard	target_cost_per_uom	cost	source_updated_at
6	BASE-DASH-00007	COLD BREW	BASE	9	ML	31.430000	31.430000	31.430000	2026-04-08 15:30:38
152	PREP-DASH-00067	BREAD TOAST	PREPARE	1	PCS	1.000000	1.000000	1.000000	2026-04-03 22:44:46
11	BASE-DASH-00012	JELLY LYCHEE BASE	BASE	11	GR	21.040000	21.040000	21.040000	2026-04-02 15:08:07
164	PREP-DASH-00082	CREPES DOUGH	PREPARE	44	PRS	40.000000	40.000000	40.000000	2026-04-01 09:11:18
39	BASE-DASH-00040	CUKO	BASE	11	GR	8.000000	8.000000	8.000000	2026-03-17 10:57:29
53	BASE-DASH-00054	ARABIAN MAGIC POWDER	BASE	11	GR	267.000000	267.000000	267.000000	2026-03-17 10:54:39
27	BASE-DASH-00028	MIX FLOUR	BASE	11	GR	164.000000	164.000000	164.000000	2026-03-17 10:53:36
64	BASE-DASH-00065	ACAR PICKLED	BASE	11	GR	26.000000	26.000000	26.000000	2026-03-17 10:22:00
9	BASE-DASH-00010	BASED LEMONGRASS	BASE	9	ML	35.620000	35.620000	35.620000	2026-03-11 09:36:24
7	BASE-DASH-00008	ADU RAMU	BASE	9	ML	6.300000	6.300000	6.300000	2026-03-11 09:10:11
192	PREP-DASH-00110	ADONAN BANANA OVALTINE	PREPARE	11	GR	2995.440000	2995.440000	2995.440000	2026-03-11 07:11:03
16	BASE-DASH-00017	BARBEQUE SAUCE	BASE	11	GR	48.000000	48.000000	48.000000	2026-03-11 07:11:03
43	BASE-DASH-00044	BASE GEDE	BASE	11	GR	60.570000	60.570000	60.570000	2026-03-11 07:11:03
38	BASE-DASH-00039	BASE MIE LEVEL	BASE	11	GR	22.000000	22.000000	22.000000	2026-03-11 07:11:03
8	BASE-DASH-00009	BASE TEA	BASE	9	ML	2.590000	2.590000	2.590000	2026-03-11 07:11:03
13	BASE-DASH-00014	BOLOGNESE	BASE	11	GR	69.210000	69.210000	69.210000	2026-03-11 07:11:03
146	PREP-DASH-00058	BROTH BETAWI	PREPARE	44	PRS	18484.800000	18484.800000	18484.800000	2026-03-11 07:11:03
147	PREP-DASH-00059	BROTH IGA	PREPARE	44	PRS	3432.000000	3432.000000	3432.000000	2026-03-11 07:11:03
149	PREP-DASH-00061	BROTH KELO MRICO SOUP	PREPARE	44	PRS	724.000000	724.000000	724.000000	2026-03-11 07:11:03
148	PREP-DASH-00060	BROTH SOYU	PREPARE	44	PRS	1680.000000	1680.000000	1680.000000	2026-03-11 07:11:03
150	PREP-DASH-00062	BROTH TORI PAITAN	PREPARE	44	PRS	5452.000000	5452.000000	5452.000000	2026-03-11 07:11:03
15	BASE-DASH-00016	BUMBU BAKAR MADU	BASE	11	GR	42.000000	42.000000	42.000000	2026-03-11 07:11:03
18	BASE-DASH-00019	BUMBU BAKAR PARAPE	BASE	11	GR	23.000000	23.000000	23.000000	2026-03-11 07:11:03
47	BASE-DASH-00048	BUMBU IRENG MADURA	BASE	11	GR	24.000000	24.000000	24.000000	2026-03-11 07:11:03
