id	source_po_id	source_po_no	material_id	material_code	material_name	line_description	brand_name	qty_buy	buy_uom_id	buy_uom_code	content_per_buy	qty_content	content_uom_id	content_uom_code	hpp	unit_price	request_date	po_status	source_updated_at
2511	1621	PO-202605-0488	3	BB-EXL-8BDC6249	AIR	NULL	-	12.0000	54	GLN	20000.000000	240000.0000	9	ML	0.125000	2500.00	2026-05-19	PAID	2026-05-19 10:57:12
1030	682	PO-202604-0564	4	BB-EXL-E3FD1BDB	AIR MINERAL BOTOL	NULL	CLEO	2.0000	49	KDS	24.000000	48.0000	6	BTL	1562.500000	37500.00	2026-04-19	PAID	2026-04-19 10:22:07
224	143	PO-202604-0143	5	BB-EXL-E6F939AF	ALMOND	NULL	almond	1.0000	3	PACK	250.000000	250.0000	11	GR	218.000000	54500.00	2026-04-04	PAID	2026-04-04 10:01:22
807	519	PO-202604-0515	11	BB-EXL-36474E66	BAWANG BOMBAY	NULL	NULL	1.0000	3	PACK	1000.000000	1000.0000	11	GR	35.000000	35000.00	2026-04-17	PAID	2026-04-17 09:13:14
767	477	PO-202604-0473	12	BB-EXL-9D256332	BAWANG MERAH	NULL	NULL	1.0000	3	PACK	1000.000000	1000.0000	11	GR	40.000000	40000.00	2026-04-16	PAID	2026-04-16 07:49:00
1022	693	PO-202604-0575	14	BB-EXL-9D2BA27C	BAWANG PUTIH	NULL	NULL	1.0000	2	UNIT	1000.000000	1000.0000	11	GR	32.000000	32000.00	2026-04-19	PAID	2026-04-19 10:14:48
589	380	PO-202604-0376	18	BB-EXL-1E13A742	BEBEK	NULL	NULL	5.0000	36	EKOR	1.000000	5.0000	36	EKOR	60000.000000	60000.00	2026-04-11	PAID	2026-04-11 12:30:57
635	395	PO-202604-0391	21	BB-EXL-EFCD305D	BERAS	NULL	NULL	1.0000	2	UNIT	10000.000000	10000.0000	11	GR	15.500000	155000.00	2026-04-13	PAID	2026-04-13 09:26:21
353	231	PO-202604-0230	222	BB-EXL-6A42965B	BISKUAT	NULL	NULL	1.0000	3	PACK	121.000000	121.0000	11	GR	80.991736	9800.00	2026-04-07	PAID	2026-04-07 10:21:05
1829	1208	PO-202605-0134	238	BB-EXL-84487022	BOTOL PLASTIK	NULL	NULL	110.0000	1	PCS	1.000000	110.0000	1	PCS	1800.000000	1800.00	2026-05-04	PAID	2026-05-04 09:21:46
566	379	PO-202604-0375	25	BB-EXL-AE650E7E	BREAD CRUMB	NULL	NULL	1.0000	3	PACK	1000.000000	1000.0000	11	GR	20.000000	20000.00	2026-04-11	PAID	2026-04-11 10:01:33
957	644	PO-202604-0550	30	BB-EXL-5D1D28FB	CABAI BUBUK	NULL	NULL	1.0000	3	PACK	250.000000	250.0000	11	GR	84.000000	21000.00	2026-04-18	PAID	2026-04-18 09:24:55
714	457	PO-202604-0453	31	BB-EXL-D8B41801	CABAI HIJAU KERITING	NULL	NULL	1.0000	3	PACK	500.000000	500.0000	11	GR	24.000000	12000.00	2026-04-15	PAID	2026-04-15 08:41:52
715	458	PO-202604-0454	32	BB-EXL-C8DCE441	CABAI HIJAU TEROPONG	NULL	NULL	1.0000	3	PACK	500.000000	500.0000	11	GR	50.000000	25000.00	2026-04-15	PAID	2026-04-15 08:42:22
722	466	PO-202604-0462	33	BB-EXL-4D3E5D90	CABAI KERING	NULL	NULL	1.0000	3	PACK	250.000000	250.0000	11	GR	100.000000	25000.00	2026-04-15	PAID	2026-04-15 08:46:27
409	275	PO-202604-0274	34	BB-EXL-F56D0BB9	CABAI MERAH KERITING	NULL	NULL	1.0000	2	UNIT	250.000000	250.0000	11	GR	32.000000	8000.00	2026-04-08	PAID	2026-04-08 09:27:46
716	459	PO-202604-0455	36	BB-EXL-8AC25E05	CABAI RAWIT HIJAU	NULL	NULL	1.0000	3	PACK	250.000000	250.0000	11	GR	72.000000	18000.00	2026-04-15	PAID	2026-04-15 08:42:57
719	462	PO-202604-0458	37	BB-EXL-FF141C6B	CABAI RAWIT MERAH	NULL	NULL	1.0000	3	PACK	1000.000000	1000.0000	11	GR	65.000000	65000.00	2026-04-15	PAID	2026-04-15 08:44:52
311	214	PO-202604-0213	43	BB-EXL-6E3E836F	CARAMEL SAUCE	NULL	TOFICO	2.0000	6	BTL	1000.000000	2000.0000	11	GR	95.000000	95000.00	2026-04-06	PAID	2026-04-06 13:58:28
693	442	PO-202604-0438	46	BB-EXL-04588C4B	CHIKUWA	NULL	NULL	1.0000	3	PACK	1000.000000	1000.0000	11	GR	52.000000	52000.00	2026-04-14	PAID	2026-04-14 08:54:46
569	383	PO-202604-0379	49	BB-EXL-648C7DFE	CIRENG	NULL	NULL	2.0000	3	PACK	20.000000	40.0000	1	PCS	350.000000	7000.00	2026-04-11	PAID	2026-04-11 10:03:21
1466	983	PO-202604-0800	233	BB-EXL-4936DFA9	CUP ICE DINE IN	NULL	NULL	1000.0000	1	PCS	1.000000	1000.0000	1	PCS	854.000000	854.00	2026-04-30	PAID	2026-04-30 11:36:32
806	517	PO-202604-0513	58	BB-EXL-46822056	DAUN BAWANG	NULL	NULL	1.0000	3	PACK	250.000000	250.0000	11	GR	16.000000	4000.00	2026-04-17	PAID	2026-04-17 09:12:47
811	518	PO-202604-0514	62	BB-EXL-BABC3C91	DORI FILLET	NULL	NULL	2.0000	2	UNIT	1000.000000	2000.0000	11	GR	45.000000	45000.00	2026-04-17	PAID	2026-04-17 09:15:47
681	443	PO-202604-0439	66	BB-EXL-872BA3FC	EMPING	NULL	NULL	1.0000	3	PACK	500.000000	500.0000	11	GR	90.000000	45000.00	2026-04-14	PAID	2026-04-14 08:48:05
958	626	PO-202604-0532	68	BB-EXL-4E94494B	FRENCH FRIES	NULL	VITALIA	1.0000	3	PACK	2000.000000	2000.0000	11	GR	25.500000	51000.00	2026-04-18	PAID	2026-04-18 09:25:36
567	372	PO-202604-0368	70	BB-EXL-3A4ECE06	GARAM	NULL	REFINA	1.0000	3	PACK	500.000000	500.0000	11	GR	18.000000	9000.00	2026-04-11	PAID	2026-04-11 10:02:16
510	335	PO-202604-0334	75	BB-EXL-37E135FF	GULA JAWA	NULL	NULL	1.0000	3	PACK	250.000000	250.0000	11	GR	16.000000	4000.00	2026-04-10	PAID	2026-04-10 09:04:23
1031	680	PO-202604-0562	78	BB-EXL-C4B75BAF	GULA PASIR BAR	NULL	ROSEBRAND	1.0000	3	PACK	1000.000000	1000.0000	11	GR	19.000000	19000.00	2026-04-19	PAID	2026-04-19 10:22:48
